GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry
0500000US36011,36,011,Cayuga,County,691.582,"POLYGON ((-76.479224 43.227519, -76.499312 43.097949, -76.462999 43.006316, -76.450738 42.84576, -76.35697399999999 42.84945, -76.27467300000001 42.771257, -76.265584 42.623588, -76.666543 42.623457, -76.73345399999999 42.727895, -76.73674 42.970286, -76.71380600000001 43.024035, -76.70534499999999 43.125463, -76.72250099999999 43.343686, -76.69835999999999 43.344436, -76.684856 43.352691, -76.669624 43.366526, -76.642672 43.401241, -76.630774 43.413356, -76.617109 43.419137, -76.605012 43.25357, -76.479224 43.227519))"
0500000US36013,36,013,Chautauqua,County,1060.226,"POLYGON ((-79.610839 41.998989, -79.62530099999999 41.999068, -79.625287 41.999003, -79.761374 41.999067, -79.76212200000001 42.131246, -79.761861 42.150712, -79.761759 42.162675, -79.761921 42.173319, -79.76192899999999 42.179693, -79.761833 42.183627, -79.762152 42.243054, -79.76196400000001 42.251354, -79.761951 42.26986, -79.717825 42.284711, -79.645358 42.315631, -79.593992 42.341641, -79.546262 42.363417, -79.510999 42.382373, -79.474794 42.404291, -79.45353299999999 42.411157, -79.429119 42.42838, -79.405458 42.453281, -79.38194300000001 42.466491, -79.36212999999999 42.480195, -79.351989 42.48892, -79.342316 42.489664, -79.33512899999999 42.488321, -79.33148300000001 42.489076, -79.32307900000001 42.494795, -79.31774 42.499884, -79.28336400000001 42.511228, -79.264624 42.523159, -79.24288900000001 42.531757, -79.223195 42.536087, -79.19323199999999 42.545881, -79.148723 42.553672, -79.138569 42.564462, -79.136725 42.569693, -79.060777 42.537853, -79.06126500000001 41.999259, -79.538445 41.998527, -79.551385 41.998666, -79.610839 41.998989))"
0500000US36019,36,019,Clinton,County,1037.852,"POLYGON ((-73.90968700000001 44.429699, -73.966148 44.709118, -73.98638200000001 44.707773, -74.02739200000001 44.995765, -73.87459699999999 45.001223, -73.624588 45.003954, -73.343124 45.01084, -73.350188 44.994304, -73.35945 44.915684, -73.369647 44.829136, -73.339958 44.778893, -73.365326 44.703294, -73.390231 44.618353, -73.37438899999999 44.575455, -73.361952 44.563064, -73.35678799999999 44.557918, -73.338634 44.546847, -73.463838 44.537681, -73.496604 44.486081, -73.700717 44.445571, -73.90968700000001 44.429699))"
0500000US36027,36,027,Dutchess,County,795.63,"POLYGON ((-73.953307 41.589977, -73.947382 41.667493, -73.942482 41.684093, -73.943482 41.690293, -73.94578199999999 41.695593, -73.946682 41.699396, -73.944435 41.714634, -73.941081 41.732693, -73.941081 41.735993, -73.962221 41.90102, -73.929626 42.078778, -73.71093 42.005488, -73.527072 41.97798, -73.49687900000001 42.049675, -73.487314 42.049638, -73.50494399999999 41.824285, -73.505008 41.823773, -73.510171 41.758686, -73.517473 41.666646, -73.521457 41.616429, -73.530067 41.527194, -73.933775 41.488279, -73.981486 41.438905, -74.000108 41.456549, -73.997609 41.487212, -73.953307 41.589977))"
0500000US36033,36,033,Franklin,County,1629.119,"POLYGON ((-74.09349 44.137615, -74.28187 44.120552, -74.535156 44.09925, -74.525683 44.170636, -74.64187200000001 44.952621, -74.72030700000001 44.953011, -74.72498 45.005915, -74.702018 45.003322, -74.291307 44.992058, -74.14681400000001 44.9915, -74.02739200000001 44.995765, -73.98638200000001 44.707773, -73.966148 44.709118, -73.90968700000001 44.429699, -74.141424 44.407268, -74.12756 44.330211, -74.09349 44.137615))"
0500000US36035,36,035,Fulton,County,495.469,"POLYGON ((-74.09746699999999 42.982934, -74.289304 42.984415, -74.488844 42.985118, -74.542367 42.98553, -74.759895 43.047423, -74.696333 43.173515, -74.712615 43.286143, -74.534657 43.228115, -74.32637800000001 43.241635, -74.220902 43.221403, -74.140147 43.253979, -74.09746699999999 42.982934))"
0500000US36039,36,039,Greene,County,647.161,"POLYGON ((-74.451713 42.169225, -74.53731000000001 42.201424, -74.443506 42.355017, -74.244692 42.377159, -74.25430299999999 42.408207, -73.783721 42.464231, -73.789502 42.267738, -73.910675 42.127293, -74.042393 42.170386, -74.074797 42.096589, -74.307571 42.114346, -74.451713 42.169225))"
0500000US36041,36,041,Hamilton,County,1717.373,"POLYGON ((-74.535156 44.09925, -74.28187 44.120552, -74.25599800000001 43.969797, -74.336826 43.925223, -74.213734 43.810875, -74.047062 43.796343, -74.057005 43.744513, -74.214625 43.728703, -74.1601 43.371532, -74.140147 43.253979, -74.220902 43.221403, -74.32637800000001 43.241635, -74.534657 43.228115, -74.712615 43.286143, -74.867712 43.339826, -74.775617 43.486677, -74.85417099999999 44.070089, -74.535156 44.09925))"
0500000US36045,36,045,Jefferson,County,1268.59,"POLYGON ((-76.35567899999999 44.133258, -76.312647 44.199044, -76.286547 44.203773, -76.245487 44.203669, -76.206777 44.214543, -76.191328 44.221244, -76.164265 44.239603, -76.11813600000001 44.29485, -76.04522799999999 44.331724, -76.000998 44.347534, -75.978281 44.34688, -75.970185 44.342835, -75.94954 44.349129, -75.91298500000001 44.368084, -75.87149599999999 44.394839, -75.86006 44.403282, -75.446124 44.217655, -75.545886 44.102978, -75.484528 44.074172, -75.54289799999999 43.967795, -75.60366999999999 43.971363, -75.758157 43.878785, -75.84056 43.883976, -75.850534 43.791886, -75.786759 43.78832, -75.774553 43.688884, -76.025087 43.707018, -76.022003 43.668143, -76.20050000000001 43.680231, -76.20543600000001 43.718751, -76.213205 43.753513, -76.229268 43.804135, -76.250135 43.825713, -76.266977 43.838046, -76.277812 43.841205, -76.28330699999999 43.843923, -76.284481 43.850968, -76.28272 43.858601, -76.276262 43.863297, -76.269217 43.868581, -76.261584 43.873278, -76.249842 43.875626, -76.24338400000001 43.877975, -76.234578 43.877388, -76.227485 43.875061, -76.219313 43.86682, -76.202257 43.864898, -76.19277700000001 43.869175, -76.180604 43.877529, -76.158249 43.887542, -76.145506 43.888681, -76.133267 43.892975, -76.127285 43.897889, -76.125023 43.912773, -76.13044600000001 43.933082, -76.133697 43.940356, -76.134359 43.945614, -76.13429600000001 43.954726, -76.13908600000001 43.962111, -76.146072 43.964705, -76.169802 43.962202, -76.18487399999999 43.971128, -76.22805 43.982737, -76.236864 43.9779, -76.244439 43.975803, -76.252318 43.975803, -76.258306 43.976118, -76.26429400000001 43.978009, -76.26870599999999 43.980846, -76.268702 43.987278, -76.266733 43.995578, -76.269672 44.001148, -76.28192799999999 44.009177, -76.28782099999999 44.01142, -76.296755 44.013307, -76.298962 44.017719, -76.30022200000001 44.022762, -76.299592 44.030956, -76.296986 44.045455, -76.300532 44.057188, -76.30420700000001 44.059445, -76.36030599999999 44.070907, -76.360798 44.087644, -76.366972 44.100409, -76.36383499999999 44.111696, -76.358163 44.123337, -76.35567899999999 44.133258))"
0500000US36051,36,051,Livingston,County,631.763,"POLYGON ((-77.90983199999999 42.987762, -77.730957 42.988372, -77.732378 42.945285, -77.580377 42.943963, -77.61167 42.763169, -77.598815 42.671965, -77.486875 42.670279, -77.490889 42.577288, -77.65991699999999 42.580409, -77.722964 42.471216, -77.840231 42.474576, -77.840901 42.517767, -78.03826100000001 42.521522, -78.048247 42.579306, -77.956334 42.667322, -77.954964 42.862754, -77.90983199999999 42.987762))"
0500000US36055,36,055,Monroe,County,657.205,"POLYGON ((-77.995591 43.365293, -77.994838 43.365259, -77.976438 43.369159, -77.965238 43.368059, -77.95293700000001 43.36346, -77.922736 43.35696, -77.904836 43.35696, -77.87533500000001 43.34966, -77.81653300000001 43.34356, -77.797381 43.339857, -77.785132 43.339261, -77.760231 43.341161, -77.75693099999999 43.337361, -77.73063 43.330161, -77.714129 43.323561, -77.701429 43.308261, -77.660359 43.282998, -77.65375899999999 43.279484, -77.628315 43.271303, -77.602161 43.256949, -77.577223 43.243263, -77.551022 43.235763, -77.534184 43.234569, -77.50091999999999 43.250363, -77.476642 43.254522, -77.436831 43.265701, -77.41451600000001 43.269263, -77.391015 43.276363, -77.38538800000001 43.276847, -77.37603799999999 43.277652, -77.374351 43.152584, -77.371478 43.034696, -77.485418 43.034564, -77.482517 42.943164, -77.580377 42.943963, -77.732378 42.945285, -77.730957 42.988372, -77.90983199999999 42.987762, -77.951044 43.039544, -77.905934 43.133561, -77.99729000000001 43.132981, -77.995723 43.284963, -77.995665 43.287448, -77.995591 43.365293))"
0500000US36059,36,059,Nassau,County,284.716,"POLYGON ((-73.754323 40.586357, -73.700582 40.743184, -73.700872 40.746866, -73.70174400000001 40.75253, -73.74675999999999 40.780382, -73.76843100000001 40.800704, -73.76830099999999 40.800797, -73.754032 40.820941, -73.7544 40.826837, -73.728275 40.8529, -73.726675 40.8568, -73.73067500000001 40.8654, -73.729575 40.8665, -73.713674 40.870099, -73.675573 40.856999, -73.670692 40.858708, -73.655872 40.863899, -73.654372 40.878199, -73.64107199999999 40.892599, -73.633771 40.898198, -73.62697199999999 40.899397, -73.617571 40.897898, -73.60187000000001 40.902798, -73.59517 40.907298, -73.569969 40.915398, -73.566169 40.915798, -73.548068 40.908698, -73.519267 40.914298, -73.514999 40.912821, -73.49994100000001 40.918166, -73.497061 40.922801, -73.454172 40.834097, -73.440967 40.764399, -73.424758 40.679052, -73.423269 40.670893, -73.424618 40.666272, -73.425586 40.656291, -73.423806 40.609869, -73.45036899999999 40.603501, -73.562372 40.583703, -73.58377299999999 40.586703, -73.610873 40.587703, -73.646674 40.582804, -73.701138 40.58361, -73.75477600000001 40.584404, -73.754323 40.586357))"
